id,name,symbol,slug,infinite_supply,circulating_supply,total_supply,max_supply,date_added,num_market_pairs,cmc_rank,last_updated,tvl_ratio,platform,self_reported_circulating_supply,self_reported_market_cap,minted_market_cap,tags,quote.USD.price,quote.USD.volume_24h,quote.USD.cex_volume_24h,quote.USD.dex_volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.slug,platform.name,platform.symbol,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,False,20056268.0,20056268.0,21000000.0,2010-07-13T00:00:00.000Z,12668,1,2026-07-14T14:23:00.000Z,,,,,1278993241211.82,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",63770.25083688632,27068469876.8302,27042187037.019485,26282839.81071132,10.726,-0.35046402,2.33640016,1.1739663,-0.73917998,-19.48805687,-14.22851767,1278993241211.8164,58.198,1339175267574.61,,2026-07-14T14:23:00.000Z,,,,,,2026-07-14 15:24:27.354103
1027,Ethereum,ETH,ethereum,True,120682986.11290024,120682986.11290024,,2015-08-07T00:00:00.000Z,12144,2,2026-07-14T14:23:00.000Z,,,,,224996537635.79,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'abstract-chain-ecosystem', 'unichain-ecosystem', 'soneium-ecosystem', 'sophon-ecosystem', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities', 'anubis-ecosystem']",1864.3600467865979,12390986569.802467,12291823217.192528,99163352.60993357,22.2249,-0.50472956,5.59193236,5.39601379,11.8225419,-16.0923639,-20.33351485,224996537635.79303,10.238,224996537635.79,,2026-07-14T14:23:00.000Z,,,,,,2026-07-14 15:24:27.354103
825,Tether USDt,USDT,tether,True,184379930696.15073,189116639520.88776,,2015-02-25T00:00:00.000Z,189932,3,2026-07-14T14:22:00.000Z,,,,,188917941620.26,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'xlayer-ecosystem']",0.9989493367631187,56887519676.475655,55591889969.2891,1295629707.1864529,12.2389,-0.01002399,-0.00606716,-0.0052663,-0.04265154,-0.05469201,-0.11276348,184186209481.34958,8.3786,188917941620.26,,2026-07-14T14:22:00.000Z,1027.0,ethereum,Ethereum,ETH,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-07-14 15:24:27.354103
1839,BNB,BNB,bnb,False,134781989.26999998,134781989.26999998,134781990.37,2017-07-25T00:00:00.000Z,3301,4,2026-07-14T14:23:00.000Z,,,,,78043509374.45,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",579.0351500014957,1063098923.6934458,1040241030.0034962,22857893.68995004,8.3771,0.20422862,2.09706372,0.27582887,-5.21779637,-14.18852571,-6.55116753,78043509374.45442,3.5512,78043510011.39,,2026-07-14T14:23:00.000Z,,,,,,2026-07-14 15:24:27.354103
3408,USDC,USDC,usd-coin,False,73150780584.57365,73150780584.57365,,2018-10-08T00:00:00.000Z,41569,5,2026-07-14T14:22:00.000Z,,,60901219650.23,60891530023.89269,73139142004.36,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'stellar-ecosystem', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'monad-ecosystem', 'xlayer-ecosystem']",0.9998408960215747,10497753038.965357,8865118385.510937,1632634653.4544342,20.9715,-0.01338701,0.00642997,-0.00422321,0.01187862,0.00989531,0.01117465,73139142004.35773,3.3271,73139142004.36,,2026-07-14T14:22:00.000Z,1027.0,ethereum,Ethereum,ETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2026-07-14 15:24:27.354103
52,XRP,XRP,xrp,False,62466503703.0,99985639695.0,100000000000.0,2013-08-04T00:00:00.000Z,1848,6,2026-07-14T14:23:00.000Z,,,,,109705775877.71,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'solana-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",1.0972153222438388,1155523510.4000456,1154811519.8637948,711990.53625094,9.3504,0.25960975,2.26476736,-1.48919039,-3.28759702,-23.62875837,-19.89391507,68539204989.9331,3.1187,109721532224.38,,2026-07-14T14:23:00.000Z,,,,,,2026-07-14 15:24:27.354103
5426,Solana,SOL,solana,True,582410525.4021893,630358617.1781367,,2020-04-10T00:00:00.000Z,1145,7,2026-07-14T14:23:00.000Z,,,525236893.3,40346165333.28049,48421109241.08,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities', 'coinlist-launchpad']",76.8151777758611,1983295373.986673,1983270229.0954852,25144.89118766,15.2708,-0.31300429,1.3968531,-5.04388228,13.53320275,-14.05695336,-8.76938829,44737968047.301834,2.0357,48421109241.08,,2026-07-14T14:23:00.000Z,,,,,,2026-07-14 15:24:27.354103
1958,TRON,TRX,tron,True,94866906252.42099,94866910221.60939,,2017-09-13T00:00:00.000Z,1350,8,2026-07-14T14:23:00.000Z,,,94667886298.43,30759679334.953312,30824346586.93,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'made-in-china']",0.32492200404672433,506968809.8175513,506853185.85091543,115623.96663587,-0.2694,-0.11966928,-0.28970421,-1.73262294,2.45309584,-7.23803999,-0.40038354,30824345297.24935,1.4026,30824346586.93,,2026-07-14T14:23:00.000Z,,,,,,2026-07-14 15:24:27.354103
32196,Hyperliquid,HYPE,hyperliquid,False,253011082.9940713,953301067.6953248,953306363.9133216,2024-07-15T10:14:50.000Z,289,9,2026-07-14T14:22:00.000Z,,,333931719.0,21632376519.973656,61755641827.12,"['decentralized-exchange-dex-token', 'defi', 'derivatives', 'layer-1', 'hyperliquid-ecosystem', 'binance-ecosystem', 'binance-listing', 'perpetuals']",64.78083778550445,319533447.88356525,262700334.48410875,56833113.39945646,-11.233,-0.46282956,1.26538717,-9.14214446,7.67775363,47.87047644,45.35093698,16390269925.373737,0.7456,61755984920.56,,2026-07-14T14:22:00.000Z,32196.0,hyperliquid,Hyperliquid,HYPE,0x0d01dc56dcaaca66ad901c959b4011ec,2026-07-14 15:24:27.354103
74,Dogecoin,DOGE,dogecoin,True,170779503126.5791,170779503126.5791,,2013-12-15T00:00:00.000Z,1452,10,2026-07-14T14:23:00.000Z,,,,,12618876251.33,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'doge-chain-ecosystem', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",0.07388987566018092,498551529.7875707,498345922.413567,205607.37400378,9.6221,0.32567621,2.30767864,-0.27479023,-14.43711868,-34.30204699,-21.10289819,12618876251.330408,0.5742,12618876251.33,,2026-07-14T14:23:00.000Z,,,,,,2026-07-14 15:24:27.354103
